rank,GeographicRegion_label,GeographicRegion_uri,CalendarYear_label,CalendarYear_uri,confidence,context
1,Bremen,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_bremen,2021,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2021,10.8722,part_of -> Germany; measured_in -> 2000; measured_in -> 2009
41,Hamburg,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_hamburg,2020,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2020,9.962,part_of -> Germany; measured_in -> 2000; measured_in -> 2009
42,Saarland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_saarland,1990,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/1990,9.9595,part_of -> Germany; measured_in -> 2000; measured_in -> 2009
43,Naples Center,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_naples_center,2001,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2001,9.9511,part_of -> Italy; cancer_data_in -> 2011; cancer_data_in -> 2013
44,Northern Ireland,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/GB_northern_ireland,1990,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/1990,9.936,part_of -> United Kingdom; measured_in -> 2000; measured_in -> 2009
45,North Rhine-Westphalia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_north_rhine_westphalia,2020,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2020,9.9324,part_of -> Germany; measured_in -> 2000; measured_in -> 2009
46,Naples North,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_naples_north,2008,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2008,9.9276,part_of -> Italy; cancer_data_in -> 2011; cancer_data_in -> 2014
47,Naples Center,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_naples_center,2000,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2000,9.8881,part_of -> Italy; cancer_data_in -> 2011; cancer_data_in -> 2013
48,Naples North,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/IT_naples_north,2007,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2007,9.8852,part_of -> Italy; cancer_data_in -> 2011; cancer_data_in -> 2014
49,Hamburg,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_hamburg,2016,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2016,9.8479,part_of -> Germany; measured_in -> 2000; measured_in -> 2009
50,North Rhine-Westphalia,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#country/gr/DE_north_rhine_westphalia,2016,http://medal.ctb.upm.es/projects/LUCIA/res/sem-lucia#calendaryear/2016,9.8364,part_of -> Germany; measured_in -> 2000; measured_in -> 2009
